Date_and_time_of_unloading,Product_code,Amount,Sale_amount,Discount_amount,Profit,Percentage_markup,Discount_percentage
1/1/20 23:00,144,1,280,,155,124,
1/1/20 23:00,209,2,545.73,294.27,75.73,16.11,35.03
1/1/20 23:00,213,2,1265.05,34.95,653.05,106.71,2.69
1/1/20 23:00,217,1,630,70,220.5,53.85,10
1/1/20 23:00,222,2,1104.75,195.25,393.75,55.38,15.02
1/1/20 23:00,243,1,292.36,157.64,1.36,0.47,35.03
1/1/20 23:00,258,1,559.55,240.45,93.55,20.08,30.06
1/1/20 23:00,270,2,497.82,242.18,35.82,7.75,32.73
1/1/20 23:00,271,1,324.84,175.16,53.84,19.87,35.03
1/1/20 23:00,282,1,423,47,252,147.37,10
1/1/20 23:00,294,1,324.84,175.16,25.84,8.64,35.03
1/1/20 23:00,298,1,180,,90.32,100.71,
1/1/20 23:00,386,1,370,,165,80.49,
1/1/20 23:00,457,1,230,100,51,28.49,30.3
1/1/20 23:00,566,3,549.42,110.58,211.35,62.52,16.75
1/1/20 23:00,581,5,2032.71,717.29,615.21,43.4,26.08
1/1/20 23:00,615,1,407.62,22.38,162.62,66.38,5.2
1/1/20 23:00,646,1,280,,150,115.38,
1/1/20 23:00,688,1,255.97,14.03,133.25,108.58,5.2
1/1/20 23:00,706,1,160,,73.27,84.48,
1/1/20 23:00,839,1,175.46,44.54,31.46,21.85,20.25
1/1/20 23:00,840,1,199.39,50.61,7.39,3.85,20.24
1/1/20 23:00,843,1,175.46,44.54,50.46,40.37,20.25
1/1/20 23:00,850,1,226.04,123.96,31.04,15.92,35.42
1/1/20 23:00,888,1,990,110,-160,-13.91,10
1/1/20 23:00,1019,0.25,160,20,81.25,103.17,11.11
1/1/20 23:00,1205,1,458.03,101.97,265.79,138.26,18.21
1/1/20 23:00,1214,1,419.66,180.34,100.16,31.35,30.06
1/1/20 23:00,1238,5,1150,100,575,100,8
1/1/20 23:00,1276,1,379.19,20.81,175.19,85.88,5.2
1/1/20 23:00,1362,0.25,238.89,61.11,66.39,38.49,20.37
1/1/20 23:00,1434,2,780,100,404,107.45,11.36
1/1/20 23:00,1470,1,255.21,64.79,93.21,57.54,20.25
1/1/20 23:00,1471,1,255.21,64.79,93.21,57.54,20.25
1/1/20 23:00,1472,2,539.27,60.73,239.27,79.76,10.12
1/1/20 23:00,1486,1,663.57,36.43,263.57,65.89,5.2
1/1/20 23:00,1497,1,220,60,75,51.72,21.43
1/1/20 23:00,1498,1,210,,110,110,
1/1/20 23:00,1501,1,487.5,212.5,172.5,54.76,30.36
1/1/20 23:00,1510,1,195.89,84.11,65.89,50.68,30.04
1/1/20 23:00,1530,1,263.65,66.35,113.65,75.77,20.11
1/1/20 23:00,1534,1,312.83,17.17,102.83,48.97,5.2
1/1/20 23:00,1561,0.5,280,,163.35,140.03,
1/1/20 23:00,1562,1,280,70,80,40,20
1/1/20 23:00,1565,1,474.03,25.97,215.03,83.02,5.19
1/1/20 23:00,1594,0.5,300,,165,122.22,
1/1/20 23:00,1595,2,512.79,247.21,100.79,24.46,32.53
1/1/20 23:00,1604,1,798.94,201.06,203.94,34.28,20.11
1/1/20 23:00,1676,2,540,60,265,96.36,10
1/1/20 23:00,1683,0.25,191.11,48.89,75.25,64.95,20.37
1/1/20 23:00,1709,3,1200,,597,99,
1/1/20 23:00,1712,1,455,245,77,20.37,35
1/1/20 23:00,1726,1,331.79,18.21,138.79,71.91,5.2
1/1/20 23:00,1746,1,160,20,66.19,70.56,11.11
1/1/20 23:00,1747,2,504,56,200.74,66.19,10
1/1/20 23:00,1754,1,292.36,157.64,47.31,19.31,35.03
1/1/20 23:00,1773,1,259.87,140.13,46.87,22,35.03
1/1/20 23:00,1775,0.25,189.47,50.53,56.42,42.41,21.05
1/1/20 23:00,1780,1,350,,173,97.74,
1/1/20 23:00,1786,0.5,405,75,138.9,52.2,15.63
1/1/20 23:00,1794,1,314.82,135.18,64.82,25.93,30.04
1/1/20 23:00,1796,1,292.5,157.5,39.5,15.61,35
1/1/20 23:00,1798,1,500.5,269.5,58.5,13.24,35
1/1/20 23:00,1803,3,824.95,15.05,419.95,103.69,1.79
1/1/20 23:00,1804,1,280,,145,107.41,
1/1/20 23:00,1806,1,195.89,84.11,60.89,45.1,30.04
1/1/20 23:00,1807,4,838.07,281.93,318.07,61.17,25.17
1/2/20 1:00,144,2,500,60,250,100,10.71
1/2/20 1:00,247,1,580,,247,74.17,
1/2/20 1:00,283,1,295,35,134,83.23,10.61
1/2/20 1:00,298,1,160,20,70.32,78.41,11.11
1/2/20 1:00,299,1,125,55,35.32,39.38,30.56
1/2/20 1:00,364,2,629.9,70.1,359.9,133.3,10.01
1/2/20 1:00,380,1,300,,150,100,
1/2/20 1:00,457,3,956.2,33.8,419.2,78.06,3.41
1/2/20 1:00,479,1,270,30,120.14,80.17,10
1/2/20 1:00,481,1,300,,161.94,117.3,
1/2/20 1:00,495,0.5,251.5,108.5,31.5,14.32,30.14
1/2/20 1:00,519,1,200,,200,,
1/2/20 1:00,564,0.25,120,,63.95,114.09,
1/2/20 1:00,566,4,835,45,384.24,85.24,5.11
1/2/20 1:00,653,5,1385,115,645,87.16,7.67
1/2/20 1:00,816,1,315,35,148,88.62,10
1/2/20 1:00,839,1,195,25,51,35.42,11.36
1/2/20 1:00,898,1,279.9,70.1,279.9,,20.03
1/2/20 1:00,1030,1,159.94,40.06,61.94,63.2,20.03
1/2/20 1:00,1032,5,927.18,72.82,377.18,68.58,7.28
1/2/20 1:00,1145,0.5,230,30,105,84,11.54
1/2/20 1:00,1205,0.75,392,28,247.83,171.9,6.67
1/2/20 1:00,1213,0.25,169.84,10.16,91.09,115.67,5.64
1/2/20 1:00,1326,0.25,140,40,53.75,62.32,22.22
1/2/20 1:00,1362,0.55,600,60,220.5,58.1,9.09
1/2/20 1:00,1434,3.75,1491.16,168.84,786.16,111.51,10.17
1/2/20 1:00,1450,0.5,414.21,25.79,189.21,84.09,5.86
1/2/20 1:00,1561,0.5,250,30,133.35,114.32,10.71
1/2/20 1:00,1594,3,1739.28,60.72,929.28,114.73,3.37
1/2/20 1:00,1726,2,628.16,71.84,242.16,62.74,10.26
1/2/20 1:00,1733,1.75,950,30,613.12,182,3.06
1/2/20 1:00,1745,1,180,,105.07,140.22,
1/2/20 1:00,1757,1,265.47,114.53,66.38,33.34,30.14
1/2/20 1:00,1772,0.5,329.63,110.37,99.01,42.93,25.08
1/2/20 1:00,1775,1.5,1125.12,314.88,326.82,40.94,21.87
1/2/20 1:00,1779,1.25,879.7,220.3,303.14,52.58,20.03
1/2/20 1:00,1781,0.75,590,70,244.07,70.55,10.61
1/2/20 1:00,1782,0.5,400,,197.78,97.8,
1/2/20 1:00,1784,1.25,855.57,244.43,279.01,48.39,22.22
1/2/20 1:00,1786,4,3109.19,730.81,980.39,46.05,19.03
1/2/20 1:00,1797,2,700,240,156,28.68,25.53
1/2/20 1:00,1798,1,690,80,248,56.11,10.39
1/2/20 1:00,1807,4,971.05,148.95,451.05,86.74,13.3
1/3/20 1:00,99,1,317.95,82.05,52.95,19.98,20.51
1/3/20 1:00,129,8,2518.76,281.24,1086.76,75.89,10.04
1/3/20 1:00,140,1,224.21,25.79,99.21,79.37,10.32
1/3/20 1:00,141,1,333,37,118,54.88,10
1/3/20 1:00,144,1,252,28,127,101.6,10
1/3/20 1:00,159,1,405,45,161,65.98,10
1/3/20 1:00,213,1,520,130,214,69.93,20
1/3/20 1:00,257,1,330,,177,115.69,
1/3/20 1:00,270,3,957.56,152.44,264.56,38.18,13.73
1/3/20 1:00,285,3,920,190,209.2,29.43,17.12
1/3/20 1:00,296,5,882,18,412.95,88.04,2
1/3/20 1:00,298,7,1260,,632.24,100.71,
1/3/20 1:00,299,3,520,20,250.96,93.28,3.7
1/3/20 1:00,364,4,1188.44,211.56,648.44,120.08,15.11
1/3/20 1:00,380,1,300,,150,100,
1/3/20 1:00,472,1,240,60,94.86,65.36,20
1/3/20 1:00,474,1,280,70,93.56,50.18,20
1/3/20 1:00,476,2,540,60,235.56,77.37,10
1/3/20 1:00,479,1,270,30,120.14,80.17,10
1/3/20 1:00,481,6,1470,330,641.64,77.46,18.33
1/3/20 1:00,490,6.75,4934.4,195.6,2736.06,124.46,3.81
1/3/20 1:00,495,8.25,5342.22,597.78,1712.22,47.17,10.06
1/3/20 1:00,519,2,379.17,20.83,379.17,,5.21
1/3/20 1:00,564,4,1865,55,968.2,107.96,2.86
